name,kind,director,country,year,imdb_rating
Четыре,Драматический фильм,"Хржановский, Илья Андреевич","Россия,Нидерланды",2004,N/A
3 ночи в пустыне,Драма (жанр),"Коуэн, Гэбриэль (страница отсутствует),en:Gabriel Cowan",Соединённые Штаты Америки,2014,7.1
1+1: Голливудская история,Комедийная драма,"Бёргер, Нил",Соединённые Штаты Америки,2017,7.9
2pac: Легенда,"Фильм-биография,Драма (жанр),Боевик (киножанр)",,Соединённые Штаты Америки,2017,7.3
2-Асса-2,Драма (жанр),"Соловьёв, Сергей Александрович (кинорежиссёр)",Россия,2008,N/A
40,"Детективный фильм,Триллер","Галибин, Александр Владимирович",Россия,2007,6.5
40 дней и 40 ночей,Кинокомедия,Майкл Леманн,США,2002,N/A
2 секунды,Комедия,Манон Брайан,Кинематограф Канады,1998,8.6
38-я параллель,"Драма (жанр),Боевик (жанр),Военный",Кан Джегю,Республика Корея,2004,7.0
42 / Номер 42,"Драма (жанр),Спортивный фильм",Брайан Хелгеленд,Соединённые Штаты Америки,12 апреля,N/A
3 идиота,"Комедия,Драма (жанр)","Хирани, Раджкумар",Индия,2009,7.1
42-я улица,"Кинокомедия,Мюзикл,Мелодрама","Ллойд Бэкон,Беркли, Басби",Соединённые Штаты Америки,1933,7.5
Авиценна,"Биографический фильм,Исторический фильм",Камиль Ярматов,Кинематограф СССР,1956,N/A
Авраам: Хранитель веры,Драма (жанр),"Сарджент, Джозеф","Соединённые Штаты Америки,Италия,Великобритания",1994,N/A
34-й скорый,"Фильм-катастрофа,Приключенческий фильм,Драматический фильм","Малюков, Андрей Игоревич",Кинематограф СССР,1981,7.0
"Авива, любовь моя",Драматический фильм,d:Q16130513,Израиль,2006,N/A
"Авель, твой брат","Психология,Драма (жанр)","Насфетер, Януш",Польша,1970,N/A
Авиатор,"Фильм-биография,Драма (жанр)","Скорсезе, Мартин","Кинематограф США,Германия",2004,N/A
39-я бригада,,"Макк, Карой","Флаг Венгрии,Венгрия",1959,6.2
Алая буква,Драма (жанр),"Шёстрём, Виктор",Соединённые Штаты Америки,1926,N/A
1+1,"Комедийная драма,Бадди-муви","Накаш, Оливье,Толедано, Эрик",Франция,2011,3.7
01-99,,"Мартиросян, Амасий Петрович",Союз Советских Социалистических Республик,1959,8.0
Авиапочта,"Мелодрама,Приключенческий фильм",Ирвин Виллат (страница отсутствует),Соединённые Штаты Америки,1925,N/A
2:37,Драматический фильм,"d:Q3328027,d:Q221992",Австралия,2006,6.8
Аланис,Драматический фильм,d:Q484261,Аргентина,21 сентября,N/A
Штурмующие,"Драма (жанр),Боевик (киножанр)","Кеннеди, Берт",Соединённые Штаты Америки,1987,N/A
Американский пирог,Кинокомедия,,Кинематограф США,1999,N/A
Американский пирог 2,Кинокомедия,Джеймс Роджерс (страница отсутствует),Соединённые Штаты Америки,2001,8.6
Алан Партридж: Альфа Отец,Комедия,,"Великобритания,Франция",1,N/A
Анна Павлова,"Драма (жанр),Фильм-биография,Исторический фильм,Музыкальный фильм","Лотяну, Эмиль Владимирович","Союз Советских Социалистических Республик,Великобритания,Германская Демократическая Республика,Куба,Франция",,N/A
Аладдин и его волшебная лампа,"Приключенческий фильм,Кинокомедия,Семейный фильм,Фэнтези",Тим Бёртон,Соединённые Штаты Америки,1986,N/A
Американский оборотень в Париже,Комедийный фильм ужасов,"Уоллер, Энтони (страница отсутствует),en:Anthony Waller","Соединённые Штаты Америки,Великобритания,Франция,Нидерланды,Люксембург",1997,N/A
33,Драма (жанр),,"Соединённые Штаты Америки,Чили,Колумбия",2015,6.5
Анна Ли,Музыкальный фильм,d:Q11989842,,,N/A
Американский огурчик,Кинокомедия,"Трост, Брэндон (страница отсутствует),en:Brandon Trost",Соединённые Штаты Америки,2020,N/A
Анна Николь,Фильм-биография,"Уоксмен, Киони",Соединённые Штаты Америки,2007,N/A
Анна на шее,Драма (жанр),"Анненский, Исидор Маркович",Союз Советских Социалистических Республик,1954,N/A
Анна Политковская: семь лет на линии фронта,Документальный фильм,,Нидерланды,2008,N/A
«Анна Каренина. История Вронского»,Драма (жанр),"Шахназаров, Карен Георгиевич",Россия,2017,N/A
Анна Каренина,"Историческая драма,Романтическая драма (кино)","Райт, Джо","Великобритания,Соединённые Штаты Америки",2012,N/A
Анна Лукаста,"Фильм нуар,Мелодрама",Ирвинг Рэппер,Соединённые Штаты Америки,1949,N/A
36 безумных кулаков,"Боевик (киножанр),Комедия",Чэнь Чжихуа (страница отсутствует),Гонконг,1977,7.1
«Анна Каренина»,Драма (жанр),"Зархи, Александр Григорьевич",Союз Советских Социалистических Республик,1967,N/A
Анна и Элизабет,Драма (жанр),"Висбар, Франк",Нацистская Германия,1933,N/A
Анна,"Постапокалипсис,Антиутопия","Амманити, Никколо",Италия,2021,N/A
"Анкор, ещё анкор!",Драма (жанр),"Тодоровский, Пётр Ефимович",Россия,1992,N/A
Анна Карамазофф,Драма (жанр),"Хамдамов, Рустам Усманович","Союз Советских Социалистических Республик,Франция",1991,N/A
Анна и король,"Мелодрама,Драма (жанр),Исторический фильм","Теннант, Энди",Соединённые Штаты Америки,1999,N/A
Анна и Командор,Мелодрама,"Хринюк, Евгений Минович",Союз Советских Социалистических Республик,1974,N/A
Анискин и Фантомас,"Детективный фильм,Кинокомедия","Жаров, Михаил Иванович,Иванов, Виталий Николаевич,Рапопорт, Владимир Абрамович",Союз Советских Социалистических Республик,,N/A
Анна Бонд,"Боевик (киножанр),Мелодрама,Драма (жанр)",,Индия,2012,N/A
"Анжелика, маркиза ангелов","Мелодрама,Приключенческий фильм",,Франция,2013,N/A
Анна Кристи,Драма (жанр),"Браун, Кларенс (режиссёр)",Соединённые Штаты Америки,1930,N/A
Анклав,Драма (жанр),Горан Радованович (страница отсутствует),"Сербия,Германия",2015,N/A
Анжелика — маркиза ангелов,"Экранизация,Приключенческий фильм,Мелодрама","Бордери, Бернар","Франция,Италия,Федеративная Республика Германии (до 1990)",,N/A
Анемон,Драматический фильм,d:Q109373742,"Соединённые Штаты Америки,Великобритания",,N/A
Анима мунди,Документальный фильм,"Реджио, Годфри",Соединённые Штаты Америки,1992,N/A
Анжелика и король,"Экранизация,Приключенческий фильм,Мелодрама,Исторический фильм","Бордери, Бернар","Франция,Италия,Федеративная Республика Германии (до 1990)",1966,N/A
Анетта,,,Союз Советских Социалистических Республик,1966,N/A
Анита О’Дэй: Жизнь джазовой певицы,Документальное кино,,Кинематограф США,2007,N/A
Анемия,Драматический фильм,"Котетишвили, Тато (страница отсутствует)",Союз Советских Социалистических Республик,1987,N/A
Анжель,"Драматический фильм,d:Q52162262","Паньоль, Марсель",Франция,1934,N/A
Анжелика и султан,Приключенческий фильм,"Бордери, Бернар",,1968,N/A
Андроид,Технотриллер,,Нидерланды,2013,N/A
Андрей Рублёв,"Исторический фильм,Драма (жанр)","Тарковский, Андрей Арсеньевич",Союз Советских Социалистических Республик,1966,N/A
Анечка идёт в школу,,"Вошмик, Милан (страница отсутствует)",Чехословакия,1962,N/A
Андрокл и лев,Пеплум (жанр),"Честер Эрскин,Николас Рэй","Соединённые Штаты Америки,Великобритания",1952,N/A
Андриеш,Сказка,"Базелян, Яков Львович,Параджанов, Сергей Иосифович",Кинематограф СССР,1954,N/A
Анжелика в гневе,"Экранизация,Приключенческий фильм,Мелодрама","Бордери, Бернар","Франция,Италия,Федеративная Республика Германии (до 1990)",1965,N/A
Андерсен. Жизнь без любви,"Биографический фильм,Фильм-сказка","Рязанов, Эльдар Александрович",Россия,2006,N/A
Андрейка,Киноповесть,"Лебедев, Николай Иванович (кинорежиссёр)",Союз Советских Социалистических Республик,1958,N/A
Андре,"Приключенческий фильм,Драма (жанр),Семейный фильм","Миллер, Джордж Трамбулл",Соединённые Штаты Америки,1994,N/A
Андрей и злой чародей,"Сказка,Кинокомедия",Геннадий Харлан (страница отсутствует),СССР,1981,N/A
Андерграунд,"Военный фильм,Драматический фильм,Эксцентричная комедия,Трагикомедия,Фантасмагория (кино),Притча","Кустурица, Эмир","Франция,d:Q156516,Германия,d:Q156516,Болгария,Венгрия,d:Q156516,Чехия,Союзная Республика Югославия,Югославия",1 апреля,N/A
Анджело,,"Нароков, Михаил (страница отсутствует)",Российская Социалистическая Федеративная Советская Республика (1917—1922),1920,N/A
Андин. Хроники армянских путешествий,,Рубен Гини (страница отсутствует),"Армения,Китай,Индия,Кыргызстан,Великобритания,Мексика,Россия,Франция,Испания",2014,N/A
Андра,Приключенческий фильм,,"Испания,Соединённые Штаты Америки",1983,N/A
Андалузский пёс,"Сюрреализм,Авангард (кинематограф)","Бунюэль, Луис",Франция,6 июня,N/A
"Анджело, моя любовь",Драма (жанр),"Дюваль, Роберт",США,1983,N/A
Англичанин в Нью-Йорке,"Фильм-биография,Драма (жанр)",Ричард Лэкстон (страница отсутствует),Великобритания,2009,N/A
Ангус,Кинокомедия,Пэтрик Рид Джонсон (страница отсутствует),"Соединённые Штаты Америки,Великобритания,Германия,Франция",1995,N/A
"Англичанин, который поднялся на холм, а спустился с горы",Кинокомедия,"Монгер, Кристофер (страница отсутствует)",Великобритания,1995,N/A
"Ангус, стринги и поцелуи взасос","Кинокомедия,Драма (жанр)",Гуриндер Чадха,"Соединённые Штаты Америки,США,Великобритания,Великобритания,Австралия,Австралия",2008,N/A
Ангелы Чарли,"Приключения,Комедия,Боевик (киножанр)",Макджи,Соединённые Штаты Америки,2000,N/A
Английский цирюльник,Комедия,"Пэдди Бретнэк (страница отсутствует),en:Paddy Breathnach","Великобритания,Германия,Соединённые Штаты Америки",2001,N/A
Англия!,Драма,Ахим фон Боррис (страница отсутствует),Германия,2000,N/A
Английский пациент,,"Мингелла, Энтони",,1996,N/A
Ангельские глазки,Драма (жанр),"Хармон, Роберт (страница отсутствует)",Соединённые Штаты Америки,1991,N/A
Английский вальс,,"Лукшас, Гитис Ромуальдо (страница отсутствует)",Союз Советских Социалистических Республик,1982,N/A
Ангельское лицо,"Нуар (кино),Мелодрама,Триллер",Отто Премингер,Соединённые Штаты Америки,1952,N/A
Ангелы-хранители,Триллер,,Канада,1988,N/A
Ангелы Чарли: Только вперёд,"Боевик (киножанр),Приключенческий фильм,Кинокомедия",Макджи,Кинематограф США,2003,N/A
Ангелы падают,"Триллер,Драма (жанр),Мелодрама",,Соединённые Штаты Америки,,N/A
Ангелы смерти,"Драма (жанр),Военный фильм","Озеров, Юрий Николаевич","Россия,Сирия",1993,N/A
Ангелы с грязными лицами,"Гангстерский фильм,Драма (жанр)","Кёртис, Майкл",Соединённые Штаты Америки,1938,N/A
Ангелы у кромки поля,"Семейный фильм,Комедия","Дир, Уильям",Кинематограф США,1994,N/A
Ангелы ада,Драма (жанр),"Хьюз, Говард,Эдмунд Гулдинг,Джеймс Уэйл",Соединённые Штаты Америки,1930,N/A
Ангелы греха,Драма (жанр),"Брессон, Робер",Франция,1943,N/A
Ангелы не жужжат,Чёрная комедия,,"Россия,Сербия",2024,N/A
Ангелы революции,Романтическая драма,"Федорченко, Алексей Станиславович",Россия,2014,N/A
Ангелы Борселлино,Драма (жанр),"Чезарео, Рокко (страница отсутствует)",Италия,2003,N/A
Ангелы и насекомые,Драма (жанр),"Хаас, Филип (страница отсутствует),en:Philip Haas","Флаг США,Соединённые Штаты Америки,Флаг Великобритании,Великобритания",1995,N/A
Ангелы и демоны,"Приключения,Триллер","Ховард, Рон",Кинематограф США,2009,N/A
Ангелы ада ’69,Боевик (киножанр),,Соединённые Штаты Америки,1969,6.0
Ангелы Вселенной,Драма (жанр),Фридрик Тоур Фридрикссон,"Исландия,Германия,Дания,Швеция,Норвегия",2000,N/A
Ангелы в раю,Драматический фильм,,"Россия,Франция",1993,N/A
Ангелы ада на колёсах,Боевик (киножанр),"Раш, Ричард (режиссёр)",Соединённые Штаты Америки,1967,N/A
Ангел с ружьём,Драматический фильм,"Дамиани, Дамиано",Италия,1992,N/A
Ангел-хранитель,"Драма (жанр),Нуар,Триллер","Лорд, Жан-Себастьян (страница отсутствует)",Канада,2014,N/A
Ангел тьмы,"Боевик (киножанр),Кинофантастика",Крэйг Р. Бэксли (страница отсутствует),США,1990,N/A
Ангелов круче не бывает,Боевик (киножанр),,Соединённые Штаты Америки,1971,N/A
Ангел правого плеча,Комедийная драма,"Усмонов, Джамшед","Таджикистан,Италия,Франция",24 мая,N/A
Ангел-истребитель,Трагикомедия,"Бунюэль, Луис",Кинематограф Мексики,1962,N/A
Ангел-мститель,"Вестерн,Боевик (киножанр),Драма (жанр)",Дэвид Касс (страница отсутствует),Соединённые Штаты Америки,2007,N/A
Ангел мести,Кинокомедия,"Бёрк, Мартин (страница отсутствует),en:Martyn Burke","Кинематограф США,Кинематограф Италии",2002,N/A
Ангел-А,"Мелодрама,Комедия,Нуар (кино),Магический реализм",Люк Бессон,Франция,2005,N/A
Ангел Русской церкви против отца всех народов,Документальное кино,"Залотуха, Валерий Александрович",Россия,2005,N/A
Ангел для Сатаны,Фильм ужасов,"Мастрочинкве, Камилло",Италия,1966,N/A
Ангел на земле,Кинокомедия,"Радваньи, Геза","Германия,Франция",1959,N/A
Ангел освобождённый,Боевик (киножанр),,Соединённые Штаты Америки,1970,N/A
Ангел за моим столом,Драма (жанр),"Кэмпион, Джейн","Великобритания,Австралия",1990,N/A
Ангел в отпуске,,"Земан, Борживой","Флаг Чехословакии,Чехословакия",1953,N/A
Ангел,"Драма (жанр),Фильм-биография",,"Аргентина,Испания",2018,N/A
Ангел света,"Мистический фильм,Боевик (киножанр),Фильм ужасов",,Австралия,2007,N/A
Анатомия любви,Романтическая драма,Шана Фест (страница отсутствует),Соединённые Штаты Америки,2014,N/A
Ангел в красном,Драма (жанр),Наннэлли Джонсон,"Соединённые Штаты Америки,Италия",1960,N/A
Ангар 18,"Боевик (киножанр),Научно-фантастический фильм","Конуэй, Джеймс (страница отсутствует)",Соединённые Штаты Америки,1980,5.2
Анатомия убийства,Юридическая драма,"Премингер, Отто",Соединённые Штаты Америки,1959,N/A
Анатомия порока,Драма (жанр),"Братсмэн, Джозеф (страница отсутствует)",Соединённые Штаты Америки,2001,N/A
Ангел в горах,,"Земан, Борживой","Флаг Чехословакии,Чехословакия",1955,N/A
Анатомия Грея,Драма (жанр),Стивен Содерберг,Соединённые Штаты Америки,1996,N/A
Анатомия падения,Драма (жанр),"Трие, Жюстин",Франция,2023,N/A
Анафема,,"Гиппиус, Сергей Васильевич",Союз Советских Социалистических Республик,1960,N/A
"Анатомия протеста, Анатомия протеста-2",Документальное кино,,Россия,,N/A
Анастасия,Документальное кино,"Лисакович, Виктор Петрович",Россия,2008,N/A
Анастасия Слуцкая,Драма (жанр),Юрий Елхов,Беларусь,2003,N/A
Анастасия: Загадка Анны,"Драма (жанр),Исторический фильм","Чомски, Марвин (страница отсутствует),en:Marvin J. Chomsky","Соединённые Штаты Америки,Австрия,Италия",,N/A
Анатомия ТАТУ,Документальный фильм,"Манский, Виталий Всеволодович",Россия,2003,N/A
Ангел в тюбетейке,Кинокомедия,"Айманов, Шакен Кенжетаевич",Союз Советских Социалистических Республик,1968,N/A
Анализируй это,"Кинокомедия,Криминальный фильм","Рэмис, Гарольд",Соединённые Штаты Америки,1999,N/A
"Ананасовый экспресс: Сижу, курю","Чёрный юмор,Кинокомедия",Дэвид Гордон Грин,Кинематограф США,2008,N/A
Анаконда,"Приключенческий фильм,Фильм ужасов","Льоса, Луис",Соединённые Штаты Америки,1997,N/A
Анатомия любви 2,Драматический фильм,,Индия,2003,8.6
Анархисты,Драма (жанр),,Франция,2015,N/A
Анархистки,"Исторический фильм,Драма (жанр)","Аранда, Висенте","Испания,Италия,Бельгия",1996,N/A
Амфетамин,Драма (жанр),,Гонконг,2010,N/A
Анаконда 3: Цена эксперимента,Природный фильм ужасов (страница отсутствует),,"Соединённые Штаты Америки,Румыния",2008,7.1
Анализируй то,Комедия,"Рамис, Гарольд",Соединённые Штаты Америки,2002,N/A
"Ана, любовь моя",Драматический фильм,"Нецер, Калин Питер","Румыния,Германия,Франция",17 февраля,N/A
Ана и волки,Драма (жанр),"Саура, Карлос",Испания,1973,N/A
Анаконда 4: Кровавый след,"Природный фильм ужасов (страница отсутствует),Фэнтези",Дон Э. ФонтЛеРой,Соединённые Штаты Америки,2009,7.6
Аназапта,"Драматический фильм,Фильм-триллер",d:Q113377820,Великобритания,1 декабря,N/A
Амстердам,,"Расселл, Дэвид Оуэн",Соединённые Штаты Америки,2022,N/A
Амулет,Ужасы,Ромола Гарай,,2020,N/A
Анаконда 2: Охота за проклятой орхидеей,"Природный фильм ужасов (страница отсутствует),Приключенческий фильм",Дуайт Литтл (страница отсутствует),Соединённые Штаты Америки,9 декабря,8.6
Анатомия,Триллер,"Рузовицки, Штефан",Германия,2000,N/A
Ампир V,"Городское фэнтези,Сатира","Гинзбург, Виктор Львович",Россия,2023,8.7
Амуры,Комедия,,Кинематограф Германии,1994,N/A
Амуланга,Мелодрама,"Ясеницкий, Леонид Алексеевич (страница отсутствует)",Союз Советских Социалистических Республик,1987,N/A
Аморальный мистер Тис,Кинокомедия,"Мейер, Расс",Соединённые Штаты Америки,1959,N/A
Амур и демон,Драма (жанр),"Федюк, Николай (страница отсутствует)",Украина,1994,N/A
Амундсен,"Исторический фильм,Драма (жанр),Приключения","Сандберг, Эспен",Норвегия,2019,N/A
Аморальное поведение,"Драма (жанр),Триллер","Миллер, Джордж Трамбулл",Австралия,1993,N/A
Ампир,"Драматический фильм,Триллер","Сокуров, Александр Николаевич",Союз Советских Социалистических Республик,1986,N/A
Аммонит,"Драматический фильм,d:Q20442589","Ли, Фрэнсис (режиссёр) (страница отсутствует),en:Francis Lee (director)","Великобритания,Австралия,Соединённые Штаты Америки",2020,N/A
Аморальные истории,"Драма (жанр),Мелодрама,Эротика","Боровчик, Валериан",Франция,1974,N/A
Амнезия,Триллер,Филип Кауфман,"Соединённые Штаты Америки,Германия",2004,N/A
Амиши,,"Белтон, Дэвид (страница отсутствует),en:David Belton",Соединённые Штаты Америки,,N/A
Амрапали,"Исторический фильм,Фильм-биография,Музыкальный фильм","Тандон, Лекх",Индия,1966,N/A
Аморальный,Кинокомедия,Пьетро Джерми,"Италия,Франция",1967,N/A
Амистад,"Исторический фильм,Драма (жанр)","Спилберг, Стивен,d:Q472361",Кинематограф США,1997,N/A
Амитивилль 4: Зло спасается,"Фильм ужасов,Триллер",,Соединённые Штаты Америки,1989,7.6
Амитивилль: Новое поколение,Фильм ужасов,"Марловски, Джон (страница отсутствует)",США,1993,N/A
Аминь,Драма (жанр),Коста-Гаврас,"Франция,Германия,Румыния",2002,N/A
Америкэн бой,"Детективный фильм,Боевик (киножанр),Триллер","Квашнёв, Борис Леонидович (страница отсутствует)",Россия,1992,N/A
Американцы,Драма (жанр),"Фоули, Джеймс",США,1992,N/A
Аморальность,"Драма,Триллер,Эротика","Пирри, Массимо (страница отсутствует)",Италия,,N/A
Амитивилль 6: Вопрос времени,Фильм ужасов,"Рэндл, Тони (страница отсутствует)",Соединённые Штаты Америки,1992,7.8
Американское чтиво,"Драматический фильм,Комедийный фильм",d:Q100146356,Соединённые Штаты Америки,8 сентября,N/A
Американское общество негров-волшебников,Кинокомедия,"Либий, Коби (страница отсутствует),en:Kobi Libii",Соединённые Штаты Америки,2024,N/A
Амитивилль 3-D,"Фильм ужасов,Триллер",Ричард Флейшер,"Соединённые Штаты Америки,Мексика",1983,3.7
Американское безумие,Драматический фильм,Фрэнк Капра,Соединённые Штаты Америки,1932,N/A
Американское сердце,Драма (жанр),"Белл, Мартин (страница отсутствует)",Соединённые Штаты Америки,1992,N/A
Американский пирог представляет: Музыкальный лагерь,"Кинокомедия,Подростковый фильм,Кинокомедия,Романтическая комедия",Стив Рэш (страница отсутствует),Соединённые Штаты Америки,2005,N/A
Аламо,"Драма (жанр),Исторический фильм,Военный фильм,Вестерн","Хэнкок, Джон Ли",Соединённые Штаты Америки,2004,N/A
Американский психопат,"Сатира,Фильм ужасов","Гуаданьино, Лука",Кинематограф США,2026,N/A
Амитивилль 2: Одержимость,"Фильм ужасов,Триллер","Дамиани, Дамиано","Соединённые Штаты Америки,Мексика",1982,8.6
Американский психопат 2,"Чёрная комедия,Слэшер (жанр)",,Соединённые Штаты Америки,2002,8.6
Американский пирог представляет: Переполох в общаге,Кинокомедия,Эндрю Уоллер (страница отсутствует),"Соединённые Штаты Америки,Канада",2007,N/A
Американский солдат,Драма (жанр),Райнер Вернер Фасбиндер,"Федеративная Республика Германии (1949—1990),Федеративная Республика Германии (1949—1990)",1970,N/A
Американский самурай,Боевик (киножанр),"Ферстенберг, Сэм",США,1992,N/A
Американский пирог представляет: Правила для девочек,Кинокомедия,,Соединённые Штаты Америки,2020,N/A
Американское преступление,"Драма (жанр),Детективный фильм",,Соединённые Штаты Америки,,N/A
Американский ниндзя 5,Боевик (киножанр),Бобби Джин Леонард (страница отсутствует),Кинематограф США,1993,5.9
Американский президент,"Кинокомедия,Драма (жанр)","Райнер, Роб",Соединённые Штаты Америки,1995,N/A
Американский пирог: Все в сборе,Комедия,"Хейден Шлоссберг (страница отсутствует),Джон Харвитц (страница отсутствует)",Соединённые Штаты Америки,2012,N/A
Американский пирог представляет: Книга любви,Комедия,Джон Путч (страница отсутствует),"Соединённые Штаты Америки,Канада",2009,N/A
Американский оборотень в Лондоне,Комедийный фильм ужасов,"Лэндис, Джон","Соединённые Штаты Америки,Великобритания",1981,N/A
Американский пирог: Свадьба,Кинокомедия,"Дилан, Джесси (страница отсутствует)",Соединённые Штаты Америки,2003,N/A
Американский жиголо,Мелодрама,"Шредер, Пол",Соединённые Штаты Америки,1980,N/A
Американский пирог представляет: Голая миля,Кинокомедия,Джо Нуссбаум (страница отсутствует),"Соединённые Штаты Америки,Канада",2006,N/A
Американский ниндзя 3: Кровавая охота,Боевик (киножанр),"Сандстром, Сендрик (страница отсутствует)",Соединённые Штаты Америки,1989,7.1
Американские приключения,"Боевик (киножанр),Приключенческий фильм,Исторический фильм","Хун, Саммо,Лау Кавин (страница отсутствует),en:Lau Kar-wing",Гонконг,1997,N/A
Американский ниндзя,Боевик (киножанр),Сэм Фёрстенберг,"Соединённые Штаты Америки,Филиппины",1985,N/A
Американский дьявол,Триллер,,Соединённые Штаты Америки,2017,N/A
Американский ниндзя 4: Разрушение,Боевик (киножанр),"Сандстром, Сендрик (страница отсутствует)",Соединённые Штаты Америки,1991,7.6
Американский киборг: Стальной воин,"Боевик (киножанр),Постапокалиптика",Боаз Дэвидсон (страница отсутствует),Соединённые Штаты Америки,1993,N/A
Американский неудачник,Фильм-биография,"Братья Эрвины (страница отсутствует),en:Erwin brothers,Братья Эрвины (страница отсутствует),en:Erwin brothers",Соединённые Штаты Америки,2021,N/A
Американский дедушка,Кинокомедия,,Россия,1993,N/A
Американский ниндзя 2,Боевик (киножанр),"Фёрстенберг, Сэм",Соединённые Штаты Америки,1985,8.6
Американский боевой корабль,"Мокбастер,Научно-фантастический фильм,Боевик (киножанр),Вторжение пришельцев,Фильм-триллер,Военный фильм",d:Q51167162,Соединённые Штаты Америки,5 июля,N/A
Американский друг,Драма (жанр),"Вендерс, Вим","ФРГ,Франция",1977,N/A
Американские горки,"Криминальная драма,Триллер,Боевик (киножанр)","Стюарт, Джеб (сценарист)",Соединённые Штаты Америки,1997,N/A
Американская трагедия,Драма (жанр),"Гедрис, Марийонас Винцович",Союз Советских Социалистических Республик,,N/A
Американский грайндхаус,Документальное кино,,Соединённые Штаты Америки,2010,N/A
Американские животные,Драма (жанр),,"Кинематограф Великобритании,Кинематограф США",2018,N/A
Американские граффити,"Комедийная драма,История взросления","Лукас, Джордж",Соединённые Штаты Америки,1973,N/A
Американские детки,"Комедия,Драма (жанр)","Столберг, Джош",Кинематограф США,2005,N/A
Американские бродяги,"Комедия,Роуд-муви,Боевик (киножанр)",,Соединённые Штаты Америки,1996,N/A
Американская мечта,"Комедия,Музыка","Вайц, Пол (страница отсутствует)",Соединённые Штаты Америки,2006,N/A
Американская пастораль,Драма (жанр),"Макгрегор, Юэн",Соединённые Штаты Америки,2016,N/A
Американские молнии,"Спортивный фильм,Драматический фильм","Бэдэм, Джон",Соединённые Штаты Америки,1985,N/A
Американская интрижка,"Комедия,Драма (жанр)",,Соединённые Штаты Америки,2008,N/A
Американская сказка,"Фэнтези,Комедия",Дэвид Цукер,Соединённые Штаты Америки,2008,N/A
Американская рапсодия,"Биографический фильм,История взросления,Драматический фильм,d:Q482377",d:Q10396347,"Соединённые Штаты Америки,Венгрия",2001,N/A
