name,kind,director,country,year,imdb_rating
Американская милашка,Роуд-муви,"Арнольд, Андреа","Великобритания,Соединённые Штаты Америки",2016,N/A
Американская история Икс,"Драма (жанр),Криминальный фильм,Инструментальная музыка,Электроакустическая музыка","Кэй, Тони (режиссёр)",Соединённые Штаты Америки,1998,N/A
Американская жестокость,"Криминальный фильм,Драматический фильм",,Соединённые Штаты Америки,2016,N/A
Американская ночь,Трагикомедия,"Трюффо, Франсуа","Франция,Италия",1973,N/A
Американская звезда,Фильм-триллер,d:Q1059776,"Соединённые Штаты Америки,Великобритания",2024,N/A
Американская Мэри,"Фильм ужасов,Триллер",,Канада,2012,N/A
Американка,Драма (жанр),,"Канада,Соединённые Штаты Америки",2019,N/A
Американская готика,,"Хаф, Джон (режиссёр) (страница отсутствует),en:John Hough (director)",,1987,N/A
Американская басня,Триллер,Энн Хэмилтон (страница отсутствует),Соединённые Штаты Америки,2016,N/A
Американец,"Драма (жанр),Криминальный фильм",Антон Корбейн,Соединённые Штаты Америки,2010,N/A
Американская девочка,"Подростковый фильм,Кинокомедия,Драматический фильм,d:Q20442589",d:Q6276394,Соединённые Штаты Америки,2002,N/A
Американизируй меня,Драма (жанр),Эдвард Джеймс Олмос,Соединённые Штаты Америки,1992,N/A
Американская дочь,"Трагикомедия,Роуд-муви","Шахназаров, Карен Георгиевич","Россия,Соединённые Штаты Америки",1995,N/A
Американец в Риме,Кинокомедия,Стено (кинорежиссёр),Италия,1954,N/A
Американец в Париже,,"Миннелли, Винсент",Соединённые Штаты Америки,1951,N/A
Американа,Драма (жанр),"Кэррадайн, Дэвид",Соединённые Штаты Америки,1983,N/A
Амаркорд,"Кинокомедия,Драма (жанр)","Феллини, Федерико","Италия,Франция",1973,N/A
Амангельды,,"Левин, Моисей Зеликович",Союз Советских Социалистических Республик,1938,N/A
"Америка, Америка","Драма (жанр),Мистика",Элиа Казан,Соединённые Штаты Америки,1963,N/A
Амели,Романтическая комедия,Жан-Пьер Жёне,Франция,2001,N/A
Американизация Эмили,,"Хиллер, Артур",Соединённые Штаты Америки,1964,N/A
Аманда и инопланетянин,"Кинофантастика,Комедия",Джон Кролл (страница отсутствует),Соединённые Штаты Америки,,N/A
Америка,Криминальная драма,Жуан Нуно Пинту (страница отсутствует),"Испания,Португалия,Россия,Бразилия",2010,N/A
Амбициозная кунгфуистка,"Боевик (киножанр),Приключенческий фильм",,Гонконг,1981,N/A
Амелия,"Фильм-биография,Драма (жанр),Мелодрама","Наир, Мира","Соединённые Штаты Америки,Канада",2009,N/A
Аманат,Драма (жанр),"Нарымбетов, Сатыбалды Жалелович",Казахстан,2015,N/A
Амазонка в огне,Приключенческий фильм,"Льоса, Луис","Перу,Соединённые Штаты Америки",1993,N/A
Амайа. Дитя вампира,"Драматический фильм,Фэнтезийный фильм,Фильм о вампирах",d:Q42206252,Флаг Испании,2021,N/A
"Амар, Акбар, Антони",Комедия,"Десаи, Манмохан (страница отсутствует),en:Manmohan Desai",Индия,1977,N/A
Альфонс,Кинокомедия,"Златоустовский, Владимир Борисович",Россия,1993,N/A
Амбивалентность,"Триллер,Драма (жанр)","Бильжо, Антон Андреевич",Россия,2019,N/A
«Аманда ночью»,,"Грейвер, Гэри",Соединённые Штаты Америки,1981,N/A
Аманда,Драматический фильм,d:Q118645718,"Италия,Франция",5 сентября,N/A
Амадей,"Биографический фильм,Историческая драма","Форман, Милош",Соединённые Штаты Америки,1984,N/A
"Аляска, сэр!",,"Ребров, Вячеслав Степанович (страница отсутствует)",Россия,1992,N/A
Амазонки на Луне,"Кинофантастика,Скетч-шоу","Джо Данте,Лэндис, Джон,Готлиб, Карл (страница отсутствует),Хортон, Питер (страница отсутствует),Уайсс, Роберт",Соединённые Штаты Америки,1987,N/A
Амаара: Песнь китов,Документальный фильм,Себастьян Йобст (страница отсутствует),Германия,2021,N/A
Аляска,Драматический фильм,d:Q3680001,"Италия,Франция",2015,N/A
Альпийская баллада,,"Степанов, Борис Михайлович (режиссёр)",Кинематограф СССР,1965,N/A
Альфавиль,"Антиутопия,Неонуар","Годар, Жан-Люк","Италия,Франция",1965,N/A
Алюминиевые человечки,"Кинокомедия,Драма (жанр)",Барри Левинсон,Соединённые Штаты Америки,1987,N/A
Амазония,"Кинокомедия,Фантастика,Приключения","Брока, Филипп де",Франция,2000,N/A
Альфа дог,"Драма (жанр),Криминальный фильм,Фильм-биография","Кассаветис, Ник",Соединённые Штаты Америки,2006,N/A
"Альфредо, Альфредо",Кинокомедия,"Джерми, Пьетро",Италия,1972,N/A
Альма и Оскар,"Драматический фильм,Биографический фильм",,"Австрия,Германия,Швейцария,Чехия",20 ноября,N/A
Альтамира,"Фильм-биография,Драма (жанр),Исторический фильм","Хадсон, Хью",Испания,2016,N/A
Альрауне,"Драма (жанр),Кинофантастика","Галеен, Хенрик",Кинематограф Германии,1928,N/A
Альфа,"Исторический фильм,Боевик (киножанр),Триллер",Братья Хьюз,Соединённые Штаты Америки,2018,N/A
Альба Регия,"Драма (жанр),Военный фильм","Семеш, Михай (страница отсутствует),hu:Szemes Mihály",Венгрия,1961,N/A
Алый час,Фильм нуар,Майкл Кёртис,Соединённые Штаты Америки,1956,N/A
"Альманах сатиры и юмора, выпуск №1","Комедия,Комедия","Белинский, Александр Аркадьевич,Е.Ануфрев (страница отсутствует)","Союз Советских Социалистических Республик,Союз Советских Социалистических Республик",1980,8.2
Альпы,Драма (жанр),"Лантимос, Йоргос",Греция,2011,N/A
Альбино Аллигатор,"Неонуар,Криминальный фильм,Драматический фильм","Спейси, Кевин","Франция,Соединённые Штаты Америки",1996,N/A
Алый первоцвет,"Приключенческий фильм,Фильм плаща и шпаги","Янг, Харольд (режиссёр)",Великобритания,1934,N/A
Алый знак доблести,"Драма (жанр),Военный фильм,Вестерн",,Соединённые Штаты Америки,,N/A
Алые паруса,"Документальное кино,Комедия",,Чехия,2001,N/A
Аль-Кадисия,Историческая драма,"Абу Сейф, Салах","Флаг Египта,Флаг Ирака",1981,N/A
Алые розы,"Кинокомедия,Экранизация","Амато, Джузеппе,Де Сика, Витторио","Флаг Италии (1861—1946),Италия",1940,N/A
Алый камень,,"Исаков, Валерий Трофимович",Союз Советских Социалистических Республик,1986,N/A
Алчность,"Мистика,Драма (жанр)","Штрогейм, Эрих фон",Соединённые Штаты Америки,1924,N/A
Аль Капоне,"Гангстерский фильм,Фильм-биография","Уилсон, Ричард (режиссёр)",Соединённые Штаты Америки,1959,N/A
Алмас,Драма (жанр),"Ага-Рза Кулиев,Брагинский, Григорий Маркович","Союз Советских Социалистических Республик,Азербайджанская Советская Социалистическая Республика",1936,N/A
Алпамыс идёт в школу,,"Карсакбаев, Абдулла",Союз Советских Социалистических Республик,1976,N/A
Америка 3000,Постапокалиптика,Дэвид Энгельбах (страница отсутствует),"Флаг США,Соединённые Штаты Америки",1986,6.0
Алые погоны,"Детский фильм,Военный фильм","Гойда, Олег Васильевич (страница отсутствует)",Союз Советских Социалистических Республик,1979,N/A
"Алукарда, дочь тьмы","Фильм ужасов,Эротический фильм",,Кинематограф Мексики,1977,N/A
Алхимик,Фэнтези,Яцек Копрович (страница отсутствует),Польша,1989,N/A
Алое и чёрное,Драма (жанр),"Лондон, Джерри (страница отсутствует)","Соединённые Штаты Америки,Великобритания,Италия",1983,N/A
Алоха,"Драма (жанр),Кинокомедия,Мелодрама","Кроу, Кэмерон",Соединённые Штаты Америки,2015,N/A
Алмания — Добро пожаловать в Германию,"Драматический фильм,Комедийная драма,Кинокомедия",d:Q90892,Германия,12 февраля,N/A
"Алло, колл-центр слушает!",Мелодрама,"Атул Агнихотри (страница отсутствует),en:Atul Agnihotri",Индия,2008,N/A
Алмазная тропа,Драма (жанр),"Хмельницкий, Владимир Ильич","Союз Советских Социалистических Республик,Федеративная Республика Германии (1949—1990)",1978,N/A
Алые маки Иссык-Куля,"Истерн,Боевик","Шамшиев, Болотбек Толенович",Союз Советских Социалистических Республик,1971,N/A
Алхимики,,"Астрахан, Дмитрий Хананович","Россия,Болгария,Беларусь",2000,N/A
"Алло, Варшава!",,"Воронцов, Ольгерд Риксович (страница отсутствует)",Союз Советских Социалистических Республик,1971,N/A
Аллилуйя,Драматический фильм,d:Q3063860,"Франция,Бельгия",2014,N/A
Алмазы,Драма (жанр),"Правов, Иван Константинович,Оленин, Александр Борисович (страница отсутствует)",Кинематограф СССР,1947,N/A
Алмаз,Документальный фильм,,Кыргызстан,,N/A
Аллея кошмаров,"Триллер,Нуар,Драма (жанр)","Дель Торо, Гильермо","Соединённые Штаты Америки,Мексика",2021,N/A
Алмаз Брахмы,Драматический фильм,Дэвид Уорк Гриффит,Соединённые Штаты Америки,1909,N/A
Аллен против Фэрроу,Телевизионный документальный фильм,"d:Q1742430,d:Q4749469",Соединённые Штаты Америки,2021,N/A
Аллигатор по имени Дэйзи,Комедия,Джей Ли Томпсон,Великобритания,1955,N/A
Алитет уходит в горы,Драма (жанр),"Донской, Марк Семёнович",Кинематограф СССР,1949,N/A
Аллея чудес,Драма (жанр),"Фонс, Хорхе (страница отсутствует)",Мексика,1995,N/A
Алишер Навои,Драма (жанр),"Ярматов, Камиль Ярматович",Союз Советских Социалистических Республик,1947,N/A
Аллан Куотермейн и потерянный город золота,"Приключенческий фильм,Боевик (киножанр),Кинокомедия","Нельсон, Гэри (страница отсутствует),en:Gary Nelson (director)",Кинематограф США,1986,N/A
Аллажар,Драма (жанр),Калдыбай Абенов (страница отсутствует),Казахстан,,N/A
Алита: Боевой ангел,"Антиутопия,Боевик (киножанр),Киберпанк,Симфоническая музыка,Электронная музыка","Родригес, Роберт",Соединённые Штаты Америки,2019,N/A
Аллегро,"Драма (жанр),Фантастический фильм",Кристоффер Боэ,Дания,2005,N/A
Аллегро с огнём,"Военный фильм,Драма (жанр)","Стрелков, Владимир Вячеславович",Союз Советских Социалистических Республик,1980,N/A
"Алкали, Айова",Драма (жанр),,США,1996,N/A
Алиса на море,Кинокомедия,,Соединённые Штаты Америки,1924,N/A
"Алиса, или Последний побег","Драма (жанр),Мистический фильм,Триллер","Шаброль, Клод",Франция,1977,N/A
Аллигатор 2: Мутация,Фильм ужасов,Джон Хесс (страница отсутствует),США,1991,8.6
Алиса и укус пчелы,Кинокомедия,"Дисней, Уолт",Соединённые Штаты Америки,1925,N/A
Аллигатор,Фильм ужасов,Льюис Тиг (страница отсутствует),Соединённые Штаты Америки,14 ноября,N/A
Алла Пугачёва. Тот самый концерт,,Филипп Григорьян,Россия,2019,N/A
Алиса здесь больше не живёт,"Драма,Романтика,Трагикомедия","Скорсезе, Мартин",Кинематограф США,1974,N/A
Алишань,Документальный фильм,"Чанг, Юнг (страница отсутствует)",Канада,2009,N/A
Алиса и Букинист,"Мелодрама,Приключенческий фильм","Рудаков, Алексей Петрович (страница отсутствует)",Россия,1992,N/A
Алиса в Стране чудес,"Оркестр,Классическая музыка,Поп-музыка","Бёртон, Тим",Соединённые Штаты Америки,2010,N/A
Алиса в Зазеркалье,"Фэнтези,Приключенческий фильм,Семейный фильм,Оркестр,Поп-рок","Бобин, Джеймс (страница отсутствует),en:James Bobin",Соединённые Штаты Америки,2016,N/A
Алим — крымский разбойник,Драма (жанр),"Висковский, Вячеслав Казимирович",Российская империя,1,N/A
Алиби Сокола,"Детективный фильм,Комедия","Маккэйри, Рэй (страница отсутствует)",Соединённые Штаты Америки,1946,N/A
Али Джи в парламенте,"Фарс,Кинокомедия,Сатира","Майлод, Марк","Великобритания,Соединённые Штаты Америки,Франция",2002,N/A
Алим,"Немой кинематограф,Драматический фильм","Тасин, Георгий Николаевич",Союз Советских Социалистических Республик,1926,N/A
Алиса в городах,Драма (жанр),"Вендерс, Вим",Германия,1974,N/A
Али-баба и 40 разбойников,"Приключенческий фильм,Фильм-сказка","Сегундо де Шомон,Фернан Зекка",Франция,1902,7.1
"Али, рули!","Боевик (киножанр),Кинокомедия,Бадди-муви","Даус, Майкл (страница отсутствует)",Соединённые Штаты Америки,2019,N/A
Алиби,"Кинокомедия,Драма (жанр),Мелодрама",,Соединённые Штаты Америки,2006,N/A
Алиса,Криминальный фильм,d:Q20899938,Франция,1998,N/A
Али-Баба против семи сарацинов,Приключенческий фильм,"Сальви, Эмиммо (страница отсутствует)",Италия,1964,N/A
Алёша-доброволец,,"Глаголин, Борис Сергеевич",Российская империя,1914,N/A
Алёшкина охота,,Яков Базелян,Союз Советских Социалистических Республик,1965,N/A
Алёшкина любовь,Мелодрама,"Туманов, Семён Исаевич,Щукин, Георгий Борисович",Союз Советских Социалистических Республик,1960,N/A
Алёша Птицын вырабатывает характер,"Кинокомедия,Детство","Граник, Анатолий Михайлович",Кинематограф СССР,1953,N/A
Али-Баба и сорок разбойников,,"Хоми Вадия (страница отсутствует),en:Homi Wadia",Индия,1966,N/A
Али и Нино,Драматический фильм,,"Азербайджан,Великобритания",2016,N/A
Алёша,"Драма (жанр),Мелодрама","Обухов, Виктор Викторович",Союз Советских Социалистических Республик,1980,N/A
Алжир,,"Кромвелл, Джон",Соединённые Штаты Америки,1938,N/A
Али,"Драма (жанр),Фильм-биография,Спортивный фильм","Манн, Майкл",Соединённые Штаты Америки,2001,N/A
Александра,Драма (жанр),Александр Сокуров,Россия,2007,N/A
Аленький цветочек,"Фильм-сказка,d:Q52162262","Поволоцкая, Ирина Игоревна",Союз Советских Социалистических Республик,1977,N/A
Александр Невский,"Киноэпопея,Драма (жанр),Военный фильм,Исторический фильм","Эйзенштейн, Сергей Михайлович,Васильев, Дмитрий Иванович",Союз Советских Социалистических Республик,1938,N/A
Александр Пархоменко,,"Луков, Леонид Давидович",Кинематограф СССР,1942,N/A
Алексеич,,"Салдадзе, Людмила Григорьевна",Флаг СССР,1970,N/A
Алёнка,Комедия,"Барнет, Борис Васильевич",Союз Советских Социалистических Республик,1961,N/A
Алёнка из Почитанки,,"Русаков, Сергей Валентинович (страница отсутствует)",Россия,2014,N/A
Александр. Невская битва,"Исторический фильм,Боевик (киножанр)","Калёнов, Игорь Евгеньевич",Россия,2008,N/A
Алеко,,"Сиделёв, Сергей Ильич",Союз Советских Социалистических Республик,1953,N/A
Александр Великий,"Пеплум (жанр),Байопик","Россен, Роберт","Соединённые Штаты Америки,Испания",1956,N/A
"Александр и ужасный, кошмарный, нехороший, очень плохой день","Кинокомедия,d:Q15104217,Детское кино,Экранизация","Артета, Мигель",Соединённые Штаты Америки,2014,N/A
Александр Попов,Биографический фильм,"Раппапорт, Герберт Морицович,Эйсымонт, Виктор Владиславович",Союз Советских Социалистических Республик,1949,N/A
Алджи-золотоискатель,"Кинокомедия,Мелодрама","Уоррен, Эдвард (страница отсутствует)",Соединённые Штаты Америки,1912,N/A
Александр,"Биография,Драма (жанр),Исторический фильм,Пеплум (жанр)","Стоун, Оливер","Франция,Германия,Великобритания,Италия,Соединённые Штаты Америки,Нидерланды",2004,N/A
Александр Маленький,"Драма (жанр),Военный фильм","Фокин, Владимир Петрович","Союз Советских Социалистических Республик,Германская Демократическая Республика",1981,N/A
Алая женщина,Кинокомедия,Жан Валер (страница отсутствует),"Франция,Италия",1969,N/A
Алекс и Эмма,"Кинокомедия,Мелодрама","Райнер, Роб",Соединённые Штаты Америки,2003,N/A
Аладдин,"Кинокомедия,Музыкальный фильм,Фэнтези,Приключенческий фильм,Мелодрама","Ричи, Гай",Соединённые Штаты Америки,2019,N/A
Алая Роза,,,Франция,1951,N/A
Албанец,"Драматический фильм,Романтический фильм","d:Q2370675,d:Q1192128","Германия,Албания",2010,N/A
Алая роза,"Криминальный фильм,Фильм-драма,Нуар (кино)",Умэцугу Иноуэ,Япония,1963,N/A
Акулий торнадо,"Фильм-катастрофа,Фильм ужасов,Кинофантастика,Комедия",Энтони Ферранте,Соединённые Штаты Америки,2013,N/A
Алавердоба,Притча,"Шенгелая, Георгий Николаевич",Союз Советских Социалистических Республик,1962,N/A
Алая камелия,,Ёситаро Номура,Япония,1964,N/A
Алголь. Трагедия силы,"Фантастика,Драма (жанр)",Ханс Веркмайст (страница отсутствует),Германия,1920,N/A
Акулий торнадо 5: Глобальное роение,"Кинокомедия,Кинофантастика,Фильм ужасов,Фильм-катастрофа","Ферранте, Энтони",Соединённые Штаты Америки,2017,5.9
Акулы,"Боевик (киножанр),Фильм ужасов,Триллер",Боб Мисиоровски (страница отсутствует),"Соединённые Штаты Америки,Израиль,Южно-Африканская Республика",1999,N/A
Акты насилия,"Боевик (киножанр),Приключенческий фильм",Бретт Доноху (страница отсутствует),"Канада,Соединённые Штаты Америки",2018,N/A
Акула-монстр,"Боевик (киножанр),Фильм ужасов,Триллер","Бава, Ламберто","Италия,Франция",1984,N/A
Актриса,"Мелодрама,Кинокомедия,Военный фильм","Трауберг, Леонид Захарович",Союз Советских Социалистических Республик,1942,N/A
Акция,Военный фильм,"Шамшурин, Владимир Георгиевич",Кинематограф СССР,1987,N/A
Акулий торнадо 3,"Кинокомедия,Кинофантастика,Фильм ужасов,Фильм-катастрофа","Ферранте, Энтони",Соединённые Штаты Америки,2015,7.1
Актрисы,Драматический фильм,,Республика Корея,2009,N/A
Акулосьминог,"Фильм ужасов,Фантастика,Боевик (киножанр),Комедия (жанр)","О’Брайен, Деклан",Соединённые Штаты Америки,2010,N/A
Актриса и трансильванцы,Вестерн,"Верою, Мирча",Социалистическая Республика Румыния,1979,N/A
Акула-робот,"Фантастика,Кинокомедия,Боевик (жанр),Триллер",,"Флаг Канады,Флаг Болгарии",2015,N/A
Акт убийства,"Документальный фильм,Исторический фильм","Оппенхаймер, Джошуа","Великобритания,Дания,Норвегия",2012,N/A
Акт агрессии,"Криминальный фильм,Драма (жанр)","Пирес, Жерар","Франция,Италия",1975,N/A
Акулий торнадо 4: Пробуждение,"Кинокомедия,Кинофантастика,Фильм ужасов,Фильм-катастрофа","Ферранте, Энтони",Соединённые Штаты Америки,2016,7.6
Актёры,,,"Великобритания,Германия,Ирландия",2003,N/A
Акселератка,Эксцентрическая комедия,"Коренев, Алексей Александрович",Союз Советских Социалистических Республик,1987,N/A
Аксели и Элина,"Драма (жанр),Исторический фильм","Лайне, Эдвин",Финляндия,1970,N/A
Акулий торнадо 2: Второй по счёту,"Фильм ужасов,Комедия,Фантастика,Трэш",Энтони Ферранте,Соединённые Штаты Америки,2014,8.6
Актер Йоллер,,"Аруоя, Вирве Александровна",Союз Советских Социалистических Республик,1960,N/A
Активная зона,Драматический фильм,"Пчёлкин, Леонид","Флаг СССР,СССР",1979,N/A
Аккомпаниаторша,"Драма (жанр),Военный фильм","Миллер, Клод","Флаг Франции,Франция",1992,N/A
Акробатическая смесь,"Хроника,Короткометражный фильм","Складановский, Макс",Германская империя,1895,N/A
Акт насилия,"Фильм нуар,Драма (жанр)",Фред Циннеман,Соединённые Штаты Америки,1948,N/A
Аквариум,Драма (жанр),Андреа Арнольд,Великобритания,2009,N/A
Акт,"Мелодрама,Детектив","Рогожкин, Александр Владимирович",Россия,1993,N/A
Акванавты,Кинофантастика,"Вознесенский, Игорь Матвеевич",Союз Советских Социалистических Республик,1979,N/A
"Акмаль, дракон и принцесса",Сказка,"Степчук, Юрий Степанович",Союз Советских Социалистических Республик,1981,N/A
Акварель,Драма (жанр),"Иоселиани, Отар Давидович",Союз Советских Социалистических Республик,1958,N/A
Аквамен и потерянное царство,,"Ван, Джеймс",Соединённые Штаты Америки,22 декабря,N/A
"Аквариум, или Одиночество шпиона","Драма (жанр),Боевик (киножанр)",,"Германия,Польша,Украина",1996,N/A
Академия смерти,"Драма (жанр),Военный фильм","Ганзель, Деннис",Кинематограф Германии,2004,N/A
Аккордеонист,Документальное кино,"Лепренс, Луи",Великобритания,1888,N/A
Акваланги на дне,"Детектив,Приключенческий фильм","Шерстобитов, Евгений Фирсович",Союз Советских Социалистических Республик,1965,N/A
Аккатоне,Драма (жанр),"Пазолини, Пьер Паоло",Италия,1961,N/A
Аккумулятор 1,"Фантастика,Комедия","Сверак, Ян",Чехия,1994,8.2
Акварели,Мелодрама,,Соединённые Штаты Америки,2008,N/A
Аккорды долгой жизни,"Биографический фильм,Драма (жанр),Комедия,Мюзикл",Анар Рзаев,Кинематограф СССР,1981,N/A
Аквамен,,"Ван, Джеймс",Кинематограф США,2018,N/A
Академия вампиров,"Фэнтезийный фильм,Комедийный фильм ужасов,Фэнтезийный фильм,d:Q13217284,Подростковый фильм,Фильм о вампирах,d:Q52207399,Боевик (киножанр),Фильм-тайна,Мелодрама (киножанр)","Уотерс, Марк","Соединённые Штаты Америки,Великобритания",2014,N/A
Академия пана Кляксы,Киносказка,"Градовский, Кшиштоф (страница отсутствует)","Союз Советских Социалистических Республик,Польша",1983,N/A
Аквамарин,"Фэнтези,Кинокомедия,Семейный фильм","Аллен, Элизабет","Австралия,Соединённые Штаты Америки",2006,N/A
Академия Рашмор,"Кинокомедия,Драма (жанр)","Андерсон, Уэс",Соединённые Штаты Америки,1998,N/A
Айша,Романтическая комедия,d:Q7286439,Индия,2010,N/A
Айна,"Драматический фильм,Исторический фильм",Алты Карлиев,Кинематограф СССР,1959,N/A
Академик из Аскании,Биографический фильм,"Герасимов, Владимир Иванович (режиссёр)",Кинематограф СССР,1961,N/A
Айсберг,"Фильм-катастрофа,Боевик (киножанр),Приключенческий фильм",Шейн Ван Дайк (страница отсутствует),Соединённые Штаты Америки,2010,N/A
Айя,,"Брасла, Варис",Союз Советских Социалистических Республик,1987,N/A
Акации,Драматический фильм,Пабло Джорджелли (страница отсутствует),"Аргентина,Испания",2011,N/A
Айрис,Драма (жанр),Ричард Айр,"Великобритания,Соединённые Штаты Америки",2001,N/A
Айвенго,Приключенческий фильм,"Кэмфилд, Дуглас (страница отсутствует)","Соединённые Штаты Америки,Великобритания",,N/A
Айседора,Драма (жанр),"Рейш, Карел",Великобритания,1968,N/A
Айла,Драма (жанр),"Улкай, Джан (страница отсутствует)","Турция,Республика Корея",2017,N/A
Айрик,Мелодрама (киножанр),"Малян, Генрих Суренович",Союз Советских Социалистических Республик,1972,N/A
Академик Иван Павлов,"Биографический фильм,Драма (жанр)","Рошаль, Григорий Львович",Союз Советских Социалистических Республик,1949,N/A
Айлин,"d:Q109733304,d:Q52207399",d:Q42329429,"Соединённые Штаты Америки,Великобритания",2023,N/A
Айта,"Драматический фильм,Триллер",,Россия,2022,N/A
Айк: Обратный отсчёт,,"Хэрмон, Роберт (страница отсутствует)",Соединённые Штаты Америки,,N/A
Айви,,Сэм Вуд,Соединённые Штаты Америки,1947,N/A
Айка,Драма (жанр),"Дворцевой, Сергей Владимирович","Казахстан,Россия,Германия,Китай,Польша",18 мая,N/A
Аида,,,Италия,1911,N/A
Айболит-66,"Музыкальный фильм,Кинокомедия,Приключенческий фильм,Артхаус,Фильм-сказка","Быков, Ролан Антонович",Союз Советских Социалистических Республик,1966,N/A
Аист,"Драма,Притча","Жереги, Валерий Исаевич",Союз Советских Социалистических Республик,1978,N/A
Айгюн,Мелодрама,Кямиль Рустамбеков,"Союз Советских Социалистических Республик,Азербайджанская Советская Социалистическая Республика",1960,N/A
Аир,"Драматический фильм,d:Q52162262","Вайда, Анджей",Польша,2009,N/A
Азартные игры,"Триллер,Драма (жанр)","Франкенхаймер, Джон",Соединённые Штаты Америки,2000,N/A
Азамат,Драматический фильм,,Кинематограф СССР,1939,N/A
Азор,Драма (киножанр),Бакич Видяй,Россия,2018,N/A
Азартная игра,Драма (жанр),"Фридкин, Уильям",США,1994,N/A
Азбука смерти,"Ужасы,Комедия,Мистика,Боевик (киножанр),Драма (жанр)",,Кинематограф США,2012,N/A
Адский переплёт,"Фильм-нуар,Триллер",Уильям Дж. Хоул-младший (страница отсутствует),Соединённые Штаты Америки,1957,N/A
Азарт любви,"Музыкальный фильм,Драматический фильм,Боевик (киножанр)",,Индия,2000,N/A
Азбука футбола,Кинокомедия,Холли Голдберг Слоан (страница отсутствует),Соединённые Штаты Америки,1995,N/A
Адский остров,Нуар,"Карлсон, Фил",Соединённые Штаты Америки,1955,N/A
Азиатский связной,Боевик (киножанр),,"Таиланд,Соединённые Штаты Америки",2016,N/A
Азирис Нуна,Кинофантастика,"Компасов, Олег Юрьевич (страница отсутствует)",Россия,2006,N/A
Адский небоскрёб,"Кинокомедия,Кинопародия",Шарль Немес (страница отсутствует),Франция,2001,N/A
Адский котёл,Фильм ужасов,"Мельес, Жорж",Франция,1903,N/A
Азбука любви,Мелодрама,Леонс Перре (страница отсутствует),Соединённые Штаты Америки,1919,N/A
Азарт удачи,Кинокомедия,Билли Уайлдер,Соединённые Штаты Америки,1966,N/A
Адская поездка,"Боевик (киножанр),Триллер,Приключения",,Кинематограф США,2008,N/A
Адский ветряк,Боевик (киножанр),"Лу Цзюньгу (страница отсутствует),Тони Вон",Гонконг,1979,N/A
Адская кухня,"Криминальный фильм,Драматический фильм",,Соединённые Штаты Америки,1998,N/A
